"surface water age (days)";"initial pH (-)";"initial EC (microS/cm)";"initial turbidity (NTU)";"flocculant age (days)";"Husk removed?";"saline Molarity (mol/l)";"filtered?";"floc dose (mg/l)";"stirring speed coagulation phase (rpm)";"duration coagulation phase (min)";"stirring speed flocculation phase (rpm)";"duration flocculation phase (min)";"stirring speed sedimentation phase (rpm)";"duration sedimentation phase (min)";"final pH (-)";"final EC (microS/cm)";"final turbidity (NTU)";"performance"
0.00;8.01;494;3;0.00;0;0;1;0;100;3;20;15;0;45;8.08;661.00;2;0.33
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.06;655.00;6;-1.00
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.13;665.00;5;-0.66
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.03;669.00;12;-3.00
1.00;8.01;494;3;0.00;0;0;1;100;100;3;20;15;0;45;8.03;666.00;10;-2.33
1.00;8.01;494;3;0.00;0;0;1;0;100;3;20;15;0;45;8.15;493.00;2;0.33
31.00;8.54;412;142;0.00;0;0;1;200;100;1;20;15;0;45;7.35;816.00;6;0.95
31.00;8.54;412;142;0.00;0;0;1;100;100;1;20;15;0;45;7.40;623.00;8;0.94
31.00;8.54;412;142;65.00;0;0;0;10;100;1;20;15;0;45;7.00;442.00;2;0.98
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.08;667.00;11;-2.66
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.12;671.00;8;-1.66
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.14;666.00;6;-1.00
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.09;663.00;6;-1.00
8.00;8.01;494;3;0.00;0;0;1;100;100;2;20;15;0;45;8.10;663.00;6;-1.00
8.00;8.01;494;3;0.00;0;0;1;0;100;2;20;15;0;45;8.24;493.00;1;0.66
1.00;8.10;848;5;0.00;0;0;1;20;100;1;20;15;0;45;8.12;887.00;7;-0.40
1.00;8.10;848;5;0.00;0;0;1;40;100;1;20;15;0;45;8.10;920.00;10;-1.00
1.00;8.10;848;5;0.00;0;0;1;60;100;1;20;15;0;45;8.09;956.00;8;-0.60
1.00;8.10;848;5;0.00;0;0;1;80;100;1;20;15;0;45;8.08;996.00;6;-0.20
1.00;8.10;848;5;0.00;0;0;1;100;100;1;20;15;0;45;8.06;1022.00;5;0.00
1.00;8.10;848;5;0.00;0;0;1;0;100;1;20;15;0;45;8.12;852.00;2;0.60
1.00;8.10;848;5;0.00;0;0;1;100;100;1;20;15;0;45;8.11;1022.00;4;0.20
1.00;8.10;848;5;0.00;0;0;1;150;100;1;20;15;0;45;8.06;1115.00;4;0.20
1.00;8.10;848;5;0.00;0;0;1;200;100;1;20;15;0;45;8.02;1182.00;4;0.20
1.00;8.10;848;5;0.00;0;0;1;250;100;1;20;15;0;45;7.97;1283.00;4;0.20
1.00;8.10;848;5;0.00;0;0;1;300;100;1;20;15;0;45;7.92;1365.00;4;0.20
1.00;8.10;848;5;0.00;0;0;1;0;100;1;20;15;0;45;8.18;850.00;2;0.60
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.11;1021.00;5;0.00
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.11;1017.00;5;0.00
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.11;1020.00;4;0.20
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.11;1025.00;3;0.40
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.08;1027.00;3;0.40
2.00;8.10;848;5;0.00;0;0;1;0;100;2;20;15;0;45;8.17;851.00;2;0.60
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.14;1018.00;4;0.20
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.14;1025.00;3;0.40
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.14;1023.00;3;0.40
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.14;1013.00;2;0.60
2.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.14;1022.00;2;0.60
2.00;8.10;848;5;0.00;0;0;1;0;100;2;20;15;0;45;8.21;847.00;2;0.60
3.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.20;1012.00;3;0.40
3.00;8.10;848;5;0.00;0;0;1;350;100;2;20;15;0;45;7.98;1381.00;11;-1.20
3.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.22;1012.00;3;0.40
3.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.16;1000.00;3;0.40
3.00;8.10;848;5;0.00;0;0;1;100;100;2;20;15;0;45;8.21;1018.00;2;0.60
3.00;8.10;848;5;0.00;0;0;1;0;100;2;20;15;0;45;8.24;850.00;2;0.60
